pt range	chiso range	        total    Fake    True  fitFake  fitTrue closureFake/closureTrue fake_fraction/fit_fakerate/error/closure(0.0052<sieie<0.0102)
###########################################################################################################################################
65 <pt<100 	4<chiso range<6 	41.8775	10.0398	31.8378	10.6935	31.2315	0.141302	0.09515      0.125846	0.141509	0.0613619	0.255256
65 <pt<100 	5<chiso range<7 	41.8775	10.0398	31.8378	10.9184	20.9737	0.0497824	0.61557      0.125846	0.126294	0.204178	0.0021922
65 <pt<100 	6<chiso range<8 	41.8775	10.0398	31.8378	10.9184	20.9737	0.0497824	0.61557      0.125846	0.125082	0.20222 	0.0037792
65 <pt<100 	4<chiso range<9 	41.8775	10.0398	31.8378	10.1286	31.7893	0.0199396	0.00766      0.125846	0.126976	0.0559549	0.0201883
65 <pt<100 	4<chiso range<10 	41.8775	10.0398	31.8378	10.1031	31.8149	0.0141855	0.00361      0.125846	0.127539	0.0564557	0.0299813
65 <pt<100 	6<chiso range<10 	41.8775	10.0398	31.8378	10.9184	20.9737	0.0497824	0.61557      0.125846	0.134316	0.217148	0.0390042
65 <pt<100 	8<chiso range<10 	41.8775	10.0398	31.8378	9.97291	31.9495	0.0148413	0.01748      0.125846	0.128516	0.0582025	0.0458688
65 <pt<100 	5<chiso range<12 	41.8775	10.0398	31.8378	9.09866	32.8479	0.231046	0.16207      0.125846	0.101754	0.0456526	0.5277321
###########################################################################################      ############################################
100 <pt<400	2<chiso range<4 	22.8346	3.56592	19.2687	2.02647	20.8745	0.742831	0.36557      0.0716391	0.0442691	0.0452952	0.6042584
100 <pt<400	3<chiso range<5 	22.8346	3.56592	19.2687	4.97786	17.9544	0.401596	0.27078      0.0716391	0.140546	0.0993697	0.693445
100 <pt<400	4<chiso range<6 	22.8346	3.56592	19.2687	2.85588	20.0563	0.340524	0.18047      0.0716391	0.0398715	0.0291394	1.090194
100 <pt<400	5<chiso range<7 	22.8346	3.56592	19.2687	2.43764	20.4748	0.629575	0.28089      0.0716391	0.0203377	0.0149665	3.427753
100 <pt<400	6<chiso range<8 	22.8346	3.56592	19.2687	2.90606	20.0034	0.291949	0.16584      0.0716391	0.0526482	0.0409823	0.4633927
100 <pt<400	4<chiso range<9 	22.8346	3.56592	19.2687	2.91897	19.9787	0.298745	0.16186      0.0716391	0.0454003	0.0337139	0.7782787
100 <pt<400	4<chiso range<10 	22.8346	3.56592	19.2687	2.66778	20.2335	0.460056	0.22285      0.0716391	0.0314129	0.0230097	1.748232
100 <pt<400	6<chiso range<10 	22.8346	3.56592	19.2687	2.53473	20.3801	0.549789	0.25744      0.0716391	0.0262042	0.0194087	2.340956
100 <pt<400	8<chiso range<10 	22.8346	3.56592	19.2687	2.19161	20.7234	0.866023	0.34260      0.0716391	0.00692803	0.00502149	12.88681
100 <pt<400	5<chiso range<12 	22.8346	3.56592	19.2687	2.64401	20.2653	0.478164	0.23046      0.0716391	0.0297442	0.0217108	1.929685
############################################################################################################################################
