pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
45  <pt<50 	6<chiso range<13 	16.7455	27.2231	6.28828	1.66621
45  <pt<50 	7<chiso range<12 	16.7455	27.5602	6.21761	1.73937
45  <pt<50 	7<chiso range<13 	16.7455	28.1252	6.12097	1.85913
45  <pt<50 	8<chiso range<13 	16.7455	27.7758	6.16361	1.78958
#######################################################################################
50  <pt<60 	3<chiso range<8 	24.1661	36.7812	7.20039	1.752
50  <pt<60 	3<chiso range<9 	24.1661	36.9823	7.17997	1.78499
50  <pt<60 	3<chiso range<10 	24.1661	37.5809	7.13888	1.87912
50  <pt<60 	3<chiso range<11 	24.1661	37.8247	7.13164	1.91521
50  <pt<60 	3<chiso range<12 	24.1661	38.1493	7.04619	1.98451
50  <pt<60 	3<chiso range<13 	24.1661	38.1932	7.04702	1.9905
50  <pt<60 	4<chiso range<9 	24.1661	37.1727	7.15691	1.81735
50  <pt<60 	4<chiso range<10 	24.1661	37.8262	7.11432	1.92009
50  <pt<60 	4<chiso range<11 	24.1661	38.0626	7.11044	1.95438
50  <pt<60 	4<chiso range<12 	24.1661	38.3889	7.01933	2.02623
50  <pt<60 	4<chiso range<13 	24.1661	38.4177	7.0225	2.02942
50  <pt<60 	5<chiso range<10 	24.1661	37.8001	7.10416	1.91916
50  <pt<60 	5<chiso range<11 	24.1661	38.0845	7.10158	1.9599
50  <pt<60 	5<chiso range<12 	24.1661	38.4704	6.99727	2.04427
50  <pt<60 	5<chiso range<13 	24.1661	38.4942	7.00302	2.04599
50  <pt<60 	6<chiso range<11 	24.1661	38.7334	7.07117	2.0601
50  <pt<60 	6<chiso range<12 	24.1661	38.9802	6.94494	2.13308
50  <pt<60 	6<chiso range<13 	24.1661	38.9505	6.95612	2.12538
50  <pt<60 	7<chiso range<12 	24.1661	39.3138	6.93038	2.1857
50  <pt<60 	7<chiso range<13 	24.1661	39.1823	6.93079	2.16659
50  <pt<60 	8<chiso range<13 	24.1661	39.4274	6.91711	2.20631
#######################################################################################
60  <pt<80 	3<chiso range<8 	24.6803	36.0167	6.7745	1.67339
60  <pt<80 	3<chiso range<9 	24.6803	36.1933	6.74601	1.70664
60  <pt<80 	3<chiso range<10 	24.6803	36.0846	6.75992	1.68705
60  <pt<80 	3<chiso range<11 	24.6803	36.2512	6.73721	1.71746
60  <pt<80 	3<chiso range<12 	24.6803	36.328	6.72803	1.73122
60  <pt<80 	3<chiso range<13 	24.6803	36.5244	6.69159	1.77
60  <pt<80 	4<chiso range<9 	24.6803	36.7458	6.6955	1.80203
60  <pt<80 	4<chiso range<10 	24.6803	36.5242	6.70646	1.76604
60  <pt<80 	4<chiso range<11 	24.6803	36.6487	6.68896	1.78928
60  <pt<80 	4<chiso range<12 	24.6803	36.7374	6.69478	1.80097
60  <pt<80 	4<chiso range<13 	24.6803	36.9292	6.66107	1.83888
60  <pt<80 	5<chiso range<10 	24.6803	36.6471	6.68916	1.78898
60  <pt<80 	5<chiso range<11 	24.6803	36.7827	6.67476	1.81316
60  <pt<80 	5<chiso range<12 	24.6803	36.8245	6.67239	1.82007
60  <pt<80 	5<chiso range<13 	24.6803	37.0352	6.63749	1.86138
60  <pt<80 	6<chiso range<11 	24.6803	36.6593	6.66956	1.79607
60  <pt<80 	6<chiso range<12 	24.6803	36.7242	6.66722	1.80644
60  <pt<80 	6<chiso range<13 	24.6803	36.9882	6.62682	1.85729
60  <pt<80 	7<chiso range<12 	24.6803	36.8741	6.66994	1.82817
60  <pt<80 	7<chiso range<13 	24.6803	37.1564	6.62262	1.88386
60  <pt<80 	8<chiso range<13 	24.6803	37.2156	6.6106	1.89624
#######################################################################################
80  <pt<120 	3<chiso range<8 	17.2209	21.5052	4.97129	0.861809
80  <pt<120 	3<chiso range<9 	17.2209	21.7051	4.95798	0.904441
80  <pt<120 	3<chiso range<10 	17.2209	21.9246	4.93435	0.953256
80  <pt<120 	3<chiso range<11 	17.2209	21.9415	4.93038	0.957452
80  <pt<120 	3<chiso range<12 	17.2209	21.9639	4.90868	0.966248
80  <pt<120 	3<chiso range<13 	17.2209	21.8829	4.91694	0.948151
80  <pt<120 	4<chiso range<9 	17.2209	21.7269	4.96807	0.906992
80  <pt<120 	4<chiso range<10 	17.2209	21.9869	4.93861	0.965049
80  <pt<120 	4<chiso range<11 	17.2209	21.9994	4.93321	0.968639
80  <pt<120 	4<chiso range<12 	17.2209	22.0121	4.90798	0.976206
80  <pt<120 	4<chiso range<13 	17.2209	21.916	4.91748	0.954778
80  <pt<120 	5<chiso range<10 	17.2209	22.2081	4.91967	1.01373
80  <pt<120 	5<chiso range<11 	17.2209	22.1937	4.91625	1.0115
80  <pt<120 	5<chiso range<12 	17.2209	22.1863	4.88892	1.01564
80  <pt<120 	5<chiso range<13 	17.2209	22.064	4.90128	0.98813
80  <pt<120 	6<chiso range<11 	17.2209	22.4115	4.9027	1.05872
80  <pt<120 	6<chiso range<12 	17.2209	22.3595	4.87114	1.05491
