pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
65  <pt<100 	5<chiso range<12 	31.8437	32.8538	6.23289	0.16206
65  <pt<100 	5<chiso range<13 	31.8437	32.7501	6.2366	0.145336
65  <pt<100 	6<chiso range<11 	31.8437	32.0782	6.38611	0.0367203
65  <pt<100 	6<chiso range<12 	31.8437	33.216	6.22653	0.220396
65  <pt<100 	6<chiso range<13 	31.8437	33.0241	6.22908	0.189498
65  <pt<100 	7<chiso range<12 	31.8437	33.2461	6.23589	0.224892
65  <pt<100 	7<chiso range<13 	31.8437	33.0081	6.23952	0.186617
65  <pt<100 	8<chiso range<13 	31.8437	33.2273	6.22293	0.222339
#######################################################################################
100  <pt<400 	3<chiso range<8 	19.2687	19.6575	4.45107	0.0873498
100  <pt<400 	3<chiso range<9 	19.2687	19.7854	4.42802	0.116689
100  <pt<400 	3<chiso range<10 	19.2687	19.9862	4.35017	0.164936
100  <pt<400 	3<chiso range<11 	19.2687	19.9684	4.37982	0.159755
100  <pt<400 	3<chiso range<12 	19.2687	20.0061	4.37158	0.16868
100  <pt<400 	3<chiso range<13 	19.2687	19.8864	4.3915	0.140658
100  <pt<400 	4<chiso range<9 	19.2687	19.9787	4.38632	0.161867
100  <pt<400 	4<chiso range<10 	19.2687	20.2335	4.32933	0.222852
100  <pt<400 	4<chiso range<11 	19.2687	20.0862	4.34493	0.18815
100  <pt<400 	4<chiso range<12 	19.2687	20.1189	4.33713	0.196028
100  <pt<400 	4<chiso range<13 	19.2687	19.9959	4.37351	0.166274
100  <pt<400 	5<chiso range<10 	19.2687	20.4107	4.30731	0.265131
100  <pt<400 	5<chiso range<11 	19.2687	20.25	4.32659	0.226807
100  <pt<400 	5<chiso range<12 	19.2687	20.2653	4.3243	0.230465
100  <pt<400 	5<chiso range<13 	19.2687	20.0914	4.34867	0.189184
100  <pt<400 	6<chiso range<11 	19.2687	20.1704	4.34036	0.207748
100  <pt<400 	6<chiso range<12 	19.2687	20.1813	4.32768	0.210875
100  <pt<400 	6<chiso range<13 	19.2687	20.0308	4.37265	0.174288
100  <pt<400 	7<chiso range<12 	19.2687	20.1457	4.34325	0.201923
100  <pt<400 	7<chiso range<13 	19.2687	19.916	4.36726	0.148217
100  <pt<400 	8<chiso range<13 	19.2687	20.0351	4.35567	0.175955
#######################################################################################
